area_vidrio,tv,yhat
0.250000,0.100000,7.263026
0.485000,0.100000,7.263026
0.720000,0.100000,7.263026
0.955000,0.100000,7.263026
1.190000,0.100000,14.356188
1.425000,0.100000,14.356188
1.660000,0.100000,14.356188
1.895000,0.100000,14.356188
2.130000,0.100000,14.356188
2.365000,0.100000,14.356188
2.600000,0.100000,14.356188
2.835000,0.100000,14.356188
3.070000,0.100000,14.356188
3.305000,0.100000,14.356188
3.540000,0.100000,14.356188
3.775000,0.100000,14.356188
4.010000,0.100000,14.356188
4.245000,0.100000,14.356188
4.480000,0.100000,14.356188
4.715000,0.100000,14.356188
4.950000,0.100000,14.356188
5.185000,0.100000,14.356188
5.420000,0.100000,14.356188
5.655000,0.100000,14.356188
5.890000,0.100000,56.999025
6.125000,0.100000,56.999025
6.360000,0.100000,56.999025
6.595000,0.100000,56.999025
6.830000,0.100000,56.999025
7.065000,0.100000,56.999025
7.300000,0.100000,56.999025
7.535000,0.100000,56.999025
7.770000,0.100000,56.999025
8.005000,0.100000,56.999025
8.240000,0.100000,56.999025
8.475000,0.100000,56.999025
8.710000,0.100000,56.999025
8.945000,0.100000,56.999025
9.180000,0.100000,56.999025
9.415000,0.100000,56.999025
9.650000,0.100000,56.999025
9.885000,0.100000,56.999025
10.120000,0.100000,56.999025
10.355000,0.100000,56.999025
10.590000,0.100000,56.999025
10.825000,0.100000,56.999025
11.060000,0.100000,56.999025
11.295000,0.100000,56.999025
11.530000,0.100000,56.999025
11.765000,0.100000,56.999025
12.000000,0.100000,56.999025
0.250000,0.200000,7.263026
0.485000,0.200000,7.263026
0.720000,0.200000,7.263026
0.955000,0.200000,7.263026
1.190000,0.200000,22.201358
1.425000,0.200000,22.201358
1.660000,0.200000,22.201358
1.895000,0.200000,22.201358
2.130000,0.200000,31.752239
2.365000,0.200000,31.752239
2.600000,0.200000,31.752239
2.835000,0.200000,31.752239
3.070000,0.200000,69.068111
3.305000,0.200000,69.068111
3.540000,0.200000,69.068111
3.775000,0.200000,69.068111
4.010000,0.200000,69.068111
4.245000,0.200000,69.068111
4.480000,0.200000,69.068111
4.715000,0.200000,69.068111
4.950000,0.200000,69.068111
5.185000,0.200000,69.068111
5.420000,0.200000,69.068111
5.655000,0.200000,69.068111
5.890000,0.200000,69.068111
6.125000,0.200000,69.068111
6.360000,0.200000,69.068111
6.595000,0.200000,69.068111
6.830000,0.200000,69.068111
7.065000,0.200000,69.068111
7.300000,0.200000,69.068111
7.535000,0.200000,69.068111
7.770000,0.200000,69.068111
8.005000,0.200000,69.068111
8.240000,0.200000,69.068111
8.475000,0.200000,69.068111
8.710000,0.200000,69.068111
8.945000,0.200000,69.068111
9.180000,0.200000,69.068111
9.415000,0.200000,69.068111
9.650000,0.200000,69.068111
9.885000,0.200000,69.068111
10.120000,0.200000,69.068111
10.355000,0.200000,69.068111
10.590000,0.200000,69.068111
10.825000,0.200000,69.068111
11.060000,0.200000,69.068111
11.295000,0.200000,69.068111
11.530000,0.200000,69.068111
11.765000,0.200000,69.068111
12.000000,0.200000,69.068111
0.250000,0.300000,7.263026
0.485000,0.300000,7.263026
0.720000,0.300000,7.263026
0.955000,0.300000,7.263026
1.190000,0.300000,22.201358
1.425000,0.300000,22.201358
1.660000,0.300000,22.201358
1.895000,0.300000,22.201358
2.130000,0.300000,63.140225
2.365000,0.300000,63.140225
2.600000,0.300000,63.140225
2.835000,0.300000,63.140225
3.070000,0.300000,69.068111
3.305000,0.300000,69.068111
3.540000,0.300000,69.068111
3.775000,0.300000,69.068111
4.010000,0.300000,69.068111
4.245000,0.300000,69.068111
4.480000,0.300000,69.068111
4.715000,0.300000,69.068111
4.950000,0.300000,69.068111
5.185000,0.300000,69.068111
5.420000,0.300000,69.068111
5.655000,0.300000,69.068111
5.890000,0.300000,69.068111
6.125000,0.300000,69.068111
6.360000,0.300000,69.068111
6.595000,0.300000,69.068111
6.830000,0.300000,69.068111
7.065000,0.300000,69.068111
7.300000,0.300000,69.068111
7.535000,0.300000,69.068111
7.770000,0.300000,69.068111
8.005000,0.300000,69.068111
8.240000,0.300000,69.068111
8.475000,0.300000,69.068111
8.710000,0.300000,69.068111
8.945000,0.300000,69.068111
9.180000,0.300000,69.068111
9.415000,0.300000,69.068111
9.650000,0.300000,69.068111
9.885000,0.300000,69.068111
10.120000,0.300000,69.068111
10.355000,0.300000,69.068111
10.590000,0.300000,69.068111
10.825000,0.300000,69.068111
11.060000,0.300000,69.068111
11.295000,0.300000,69.068111
11.530000,0.300000,69.068111
11.765000,0.300000,69.068111
12.000000,0.300000,69.068111
0.250000,0.400000,7.263026
0.485000,0.400000,7.263026
0.720000,0.400000,7.263026
0.955000,0.400000,7.263026
1.190000,0.400000,54.264543
1.425000,0.400000,54.264543
1.660000,0.400000,54.264543
1.895000,0.400000,54.264543
2.130000,0.400000,63.140225
2.365000,0.400000,63.140225
2.600000,0.400000,63.140225
2.835000,0.400000,63.140225
3.070000,0.400000,69.068111
3.305000,0.400000,69.068111
3.540000,0.400000,69.068111
3.775000,0.400000,69.068111
4.010000,0.400000,69.068111
4.245000,0.400000,69.068111
4.480000,0.400000,69.068111
4.715000,0.400000,69.068111
4.950000,0.400000,69.068111
5.185000,0.400000,69.068111
5.420000,0.400000,69.068111
5.655000,0.400000,69.068111
5.890000,0.400000,69.068111
6.125000,0.400000,69.068111
6.360000,0.400000,69.068111
6.595000,0.400000,69.068111
6.830000,0.400000,69.068111
7.065000,0.400000,69.068111
7.300000,0.400000,69.068111
7.535000,0.400000,69.068111
7.770000,0.400000,69.068111
8.005000,0.400000,69.068111
8.240000,0.400000,69.068111
8.475000,0.400000,69.068111
8.710000,0.400000,69.068111
8.945000,0.400000,69.068111
9.180000,0.400000,69.068111
9.415000,0.400000,69.068111
9.650000,0.400000,69.068111
9.885000,0.400000,69.068111
10.120000,0.400000,69.068111
10.355000,0.400000,69.068111
10.590000,0.400000,69.068111
10.825000,0.400000,69.068111
11.060000,0.400000,69.068111
11.295000,0.400000,69.068111
11.530000,0.400000,69.068111
11.765000,0.400000,69.068111
12.000000,0.400000,69.068111
0.250000,0.500000,7.263026
0.485000,0.500000,7.263026
0.720000,0.500000,7.263026
0.955000,0.500000,7.263026
1.190000,0.500000,54.264543
1.425000,0.500000,54.264543
1.660000,0.500000,54.264543
1.895000,0.500000,54.264543
2.130000,0.500000,63.140225
2.365000,0.500000,63.140225
2.600000,0.500000,63.140225
2.835000,0.500000,63.140225
3.070000,0.500000,69.068111
3.305000,0.500000,69.068111
3.540000,0.500000,69.068111
3.775000,0.500000,69.068111
4.010000,0.500000,69.068111
4.245000,0.500000,69.068111
4.480000,0.500000,69.068111
4.715000,0.500000,69.068111
4.950000,0.500000,69.068111
5.185000,0.500000,69.068111
5.420000,0.500000,69.068111
5.655000,0.500000,69.068111
5.890000,0.500000,69.068111
6.125000,0.500000,69.068111
6.360000,0.500000,69.068111
6.595000,0.500000,69.068111
6.830000,0.500000,69.068111
7.065000,0.500000,69.068111
7.300000,0.500000,69.068111
7.535000,0.500000,69.068111
7.770000,0.500000,69.068111
8.005000,0.500000,69.068111
8.240000,0.500000,69.068111
8.475000,0.500000,69.068111
8.710000,0.500000,69.068111
8.945000,0.500000,69.068111
9.180000,0.500000,69.068111
9.415000,0.500000,69.068111
9.650000,0.500000,69.068111
9.885000,0.500000,69.068111
10.120000,0.500000,69.068111
10.355000,0.500000,69.068111
10.590000,0.500000,69.068111
10.825000,0.500000,69.068111
11.060000,0.500000,69.068111
11.295000,0.500000,69.068111
11.530000,0.500000,69.068111
11.765000,0.500000,69.068111
12.000000,0.500000,69.068111
0.250000,0.600000,15.672196
0.485000,0.600000,15.672196
0.720000,0.600000,45.429486
0.955000,0.600000,45.429486
1.190000,0.600000,54.264543
1.425000,0.600000,54.264543
1.660000,0.600000,54.264543
1.895000,0.600000,54.264543
2.130000,0.600000,69.599039
2.365000,0.600000,69.599039
2.600000,0.600000,69.599039
2.835000,0.600000,69.599039
3.070000,0.600000,69.599039
3.305000,0.600000,69.599039
3.540000,0.600000,69.599039
3.775000,0.600000,69.599039
4.010000,0.600000,69.599039
4.245000,0.600000,69.599039
4.480000,0.600000,69.599039
4.715000,0.600000,69.599039
4.950000,0.600000,69.599039
5.185000,0.600000,69.599039
5.420000,0.600000,69.599039
5.655000,0.600000,69.599039
5.890000,0.600000,69.599039
6.125000,0.600000,69.599039
6.360000,0.600000,69.599039
6.595000,0.600000,69.599039
6.830000,0.600000,69.599039
7.065000,0.600000,69.599039
7.300000,0.600000,69.599039
7.535000,0.600000,69.599039
7.770000,0.600000,69.599039
8.005000,0.600000,44.266368
8.240000,0.600000,44.266368
8.475000,0.600000,44.266368
8.710000,0.600000,44.266368
8.945000,0.600000,44.266368
9.180000,0.600000,44.266368
9.415000,0.600000,44.266368
9.650000,0.600000,44.266368
9.885000,0.600000,44.266368
10.120000,0.600000,44.266368
10.355000,0.600000,44.266368
10.590000,0.600000,44.266368
10.825000,0.600000,44.266368
11.060000,0.600000,44.266368
11.295000,0.600000,44.266368
11.530000,0.600000,44.266368
11.765000,0.600000,44.266368
12.000000,0.600000,44.266368
0.250000,0.700000,15.672196
0.485000,0.700000,15.672196
0.720000,0.700000,45.429486
0.955000,0.700000,45.429486
1.190000,0.700000,67.591360
1.425000,0.700000,67.591360
1.660000,0.700000,67.591360
1.895000,0.700000,67.591360
2.130000,0.700000,67.591360
2.365000,0.700000,67.591360
2.600000,0.700000,67.591360
2.835000,0.700000,67.591360
3.070000,0.700000,67.591360
3.305000,0.700000,67.591360
3.540000,0.700000,67.591360
3.775000,0.700000,67.591360
4.010000,0.700000,67.591360
4.245000,0.700000,67.591360
4.480000,0.700000,67.591360
4.715000,0.700000,67.591360
4.950000,0.700000,67.591360
5.185000,0.700000,67.591360
5.420000,0.700000,67.591360
5.655000,0.700000,67.591360
5.890000,0.700000,67.591360
6.125000,0.700000,67.591360
6.360000,0.700000,42.548004
6.595000,0.700000,42.548004
6.830000,0.700000,42.548004
7.065000,0.700000,42.548004
7.300000,0.700000,42.548004
7.535000,0.700000,42.548004
7.770000,0.700000,42.548004
8.005000,0.700000,42.548004
8.240000,0.700000,42.548004
8.475000,0.700000,42.548004
8.710000,0.700000,42.548004
8.945000,0.700000,28.259279
9.180000,0.700000,28.259279
9.415000,0.700000,28.259279
9.650000,0.700000,28.259279
9.885000,0.700000,28.259279
10.120000,0.700000,28.259279
10.355000,0.700000,28.259279
10.590000,0.700000,28.259279
10.825000,0.700000,28.259279
11.060000,0.700000,28.259279
